22,40-49,Male,2.75,2.75,Assistant Chief,Married,4,0,Yes,3,3,Good,Younger,No,No,NULL,1899-12-30 14:30:00.000,NULL,NULL,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,0.604166666666667,0.9375,NULL,NULL,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,0.9375,2nd,NULL,48,No,Frequently,Occasionally,Occasionally,Stressful,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,Stressful,Stressful,A little stress,Stressful,A little stress,A little stress,1
25,40-49,Male,9.5,9.5,Trick Dispatcher,Married,1,0,No,NULL,15,Good,Same,No,No,NULL,1899-12-30 14:45:00.000,NULL,NULL,1899-12-30 14:45:00.000,1899-12-30 14:45:00.000,1899-12-30 14:45:00.000,0.614583333333333,0.958333333333333,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,2nd,NULL,41,Yes,Frequently,Frequently,Frequently,A little stress,No stress,A little stress,Stressful,A little stress,A little stress,Stressful,No stress,Stressful,No stress,A little stress,Stressful,A little stress,No stress,2
38,40-49,Male,7.5,7.5,Trick Dispatcher,Not married,0,0,Yes,4,1,Excellent,Younger,No,No,NULL,1899-12-30 06:25:00.000,1899-12-30 06:25:00.000,NULL,NULL,1899-12-30 06:25:00.000,1899-12-30 06:25:00.000,0.267361111111111,0.600694444444444,0.600694444444444,NULL,NULL,1899-12-30 14:25:00.000,1899-12-30 14:25:00.000,0.600694444444444,1st,NULL,48,Yes,Frequently,Occasionally,Occasionally,1,1,2,NULL,2,3,3,4,1,4,3,2,3,2,0
40,30-39,Male,1.58333333333333,1.58333333333333,Trick Dispatcher,Married,1,0,Yes,6,2,Good,Same,Yes,Yes,Yes,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,NULL,NULL,1899-12-30 23:00:00.000,0.958333333333333,0.291666666666667,0.291666666666667,1899-12-30 07:00:00.000,NULL,NULL,1899-12-30 07:00:00.000,0.291666666666667,3rd,NULL,40,Yes,Occasionally,Occasionally,Frequently,Very stressful,A little stress,Stressful,A little stress,Very stressful,Stressful,A little stress,Very stressful,Stressful,Stressful,A little stress,A little stress,Stressful,Very stressful,3
43,40-49,Male,9.41666666666667,9.41666666666667,Trick Dispatcher,Married,2,NULL,Yes,1,0,Fair,Younger,No,No,NULL,1899-12-30 23:00:00.000,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,0.291666666666667,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,3rd,NULL,40,Yes,Frequently,Occasionally,Occasionally,A little stress,Stressful,Stressful,A little stress,A little stress,A little stress,A little stress,Stressful,Stressful,A little stress,Stressful,Stressful,Very stressful,A little stress,0
46,50-59,Male,26.9166666666667,12.9166666666667,Trick Dispatcher,Married,0,0,Yes,3,2,Good,Older,Yes,Yes,Yes,1899-12-30 07:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,NULL,NULL,0.291666666666667,0.625,0.958333333333333,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,NULL,NULL,0.625,Relief,NULL,40,Yes,Occasionally,Frequently,Occasionally,A little stress,A little stress,Stressful,Stressful,Stressful,Stressful,Stressful,A little stress,Very stressful,Very stressful,Stressful,A little stress,Stressful,A little stress,1
48,50-59,Male,5.58333333333333,5.58333333333333,Trick Dispatcher,Married,0,0,Yes,6,12,Good,Younger,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Extraboard,NULL,32,Yes,Frequently,Frequently,Occasionally,Stressful,A little stress,Stressful,Stressful,A little stress,A little stress,Stressful,A little stress,Stressful,Stressful,A little stress,A little stress,A little stress,A little stress,0
50,50-59,Male,15.3333333333333,15.3333333333333,Trick Dispatcher,Married,3,0,No,NULL,3,Excellent,Younger,No,No,NULL,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,NULL,NULL,0.958333333333333,0.958333333333333,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,NULL,NULL,2nd,NULL,40,Yes,Occasionally,Always,Frequently,A little stress,No stress,Stressful,Stressful,Very stressful,A little stress,Very stressful,A little stress,Very stressful,Stressful,Very stressful,Very stressful,Very stressful,A little stress,2
51,40-49,Male,7,7,Trick Dispatcher,Married,4,0,Yes,1,0,Excellent,Younger,No,No,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,NULL,NULL,0.625,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,NULL,1st,NULL,40,Yes,Frequently,Occasionally,Occasionally,No stress,A little stress,A little stress,Stressful,No stress,A little stress,Stressful,No stress,A little stress,A little stress,No stress,A little stress,Stressful,No stress,4
52,50-59,Male,26.8333333333333,6.91666666666667,Trick Dispatcher,Married,0,0,Yes,4,10,Good,Younger,No,No,NULL,1899-12-30 07:00:00.000,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,0.625,NULL,NULL,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,0.625,1st,NULL,40,Yes,Frequently,Occasionally,Occasionally,No stress,No stress,No stress,No stress,A little stress,A little stress,Stressful,No stress,A little stress,A little stress,A little stress,No stress,No stress,No stress,1
54,40-49,Male,11.25,11.25,Trick Dispatcher,Married,3,0,Yes,3,NULL,Good,Same,No,No,NULL,1899-12-30 23:00:00.000,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,0.291666666666667,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,3rd,NULL,40,Yes,Occasionally,Always,Frequently,Stressful,Stressful,Stressful,Stressful,Stressful,Very stressful,Stressful,A little stress,Stressful,A little stress,A little stress,Stressful,A little stress,A little stress,4
55,50-59,Male,29,29,Trick Dispatcher,Not married,0,0,Yes,2,12,Good,Younger,No,No,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,NULL,NULL,0.625,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,NULL,1st,NULL,48,Yes,Occasionally,Always,Frequently,Very stressful,A little stress,Very stressful,Very stressful,Very stressful,Very stressful,Very stressful,A little stress,Very stressful,Very stressful,Very stressful,Very stressful,Very stressful,Stressful,0
60,30-39,Male,7.83333333333333,7.83333333333333,Trick Dispatcher,Not married,3,0,Yes,2,25,Good,Older,No,No,NULL,1899-12-30 14:30:00.000,NULL,NULL,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,0.604166666666667,0.9375,NULL,NULL,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,0.9375,2nd,NULL,40,Yes,Occasionally,Frequently,Occasionally,Very stressful,A little stress,Stressful,A little stress,A little stress,A little stress,Stressful,A little stress,Stressful,Stressful,Stressful,Stressful,Stressful,A little stress,4
62,30-39,Male,0.75,0.75,Trick Dispatcher,Married,4,0,Yes,6,9,Good,Older,No,No,NULL,1899-12-30 15:30:00.000,NULL,NULL,1899-12-30 15:30:00.000,1899-12-30 15:30:00.000,1899-12-30 15:30:00.000,0.645833333333333,0.979166666666667,NULL,NULL,1899-12-30 23:30:00.000,1899-12-30 23:30:00.000,1899-12-30 23:30:00.000,0.979166666666667,2nd,NULL,40,Yes,Frequently,Frequently,Occasionally,Stressful,A little stress,A little stress,A little stress,Stressful,A little stress,A little stress,No stress,Stressful,A little stress,Stressful,A little stress,A little stress,Stressful,7
68,40-49,Female,24.5,24.5,Trick Dispatcher,Married,0,0,Yes,1,5,Good,Younger,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Extraboard,NULL,40,Yes,Occasionally,Frequently,Frequently,A little stress,A little stress,Stressful,Stressful,No stress,A little stress,Very stressful,A little stress,A little stress,A little stress,Stressful,Stressful,Very stressful,A little stress,2
69,40-49,Male,13.8333333333333,11.6666666666667,Trick Dispatcher,Married,3,0,Yes,8,30,Good,Same,No,No,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,0.291666666666667,0.291666666666667,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,3rd,NULL,40,Yes,Occasionally,Occasionally,Frequently,A little stress,No stress,Stressful,A little stress,A little stress,A little stress,Very stressful,Very stressful,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,3
70,50-59,Male,25.4166666666667,25.4166666666667,Trick Dispatcher,Married,3,0,Yes,3,0,Excellent,Younger,No,No,NULL,1899-12-30 07:00:00.000,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,NULL,NULL,0.625,0.958333333333333,1899-12-30 23:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,NULL,NULL,Relief,NULL,40,Yes,Always,Occasionally,Never,No stress,No stress,No stress,No stress,No stress,A little stress,Stressful,A little stress,A little stress,No stress,No stress,A little stress,No stress,No stress,0
71,50-59,Male,9,9,Trick Dispatcher,Married,0,0,Yes,4,0,Good,Younger,No,No,NULL,1899-12-30 23:00:00.000,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,0.291666666666667,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,3rd,NULL,40,Yes,Frequently,Occasionally,Occasionally,Stressful,A little stress,Stressful,No stress,A little stress,A little stress,Stressful,Stressful,A little stress,A little stress,Stressful,Stressful,Stressful,A little stress,0
74,40-49,Male,8.16666666666667,8.16666666666667,Trick Dispatcher,Married,4,NULL,Yes,4,0,Good,Younger,No,No,NULL,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,1899-12-30 22:30:00.000,NULL,NULL,1899-12-30 14:30:00.000,0.604166666666667,0.9375,0.9375,1899-12-30 06:30:00.000,NULL,NULL,1899-12-30 22:30:00.000,0.9375,Relief,NULL,40,Yes,Occasionally,Occasionally,Occasionally,A little stress,A little stress,Stressful,No stress,No stress,No stress,A little stress,A little stress,A little stress,No stress,No stress,No stress,No stress,No stress,2
80,60+,Male,28,28,Trick Dispatcher,Married,2,0,Yes,6,5,Good,Younger,Yes,Yes,No,NULL,1899-12-30 06:30:00.000,1899-12-30 06:30:00.000,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,1899-12-30 22:30:00.000,NULL,NULL,0.604166666666667,1899-12-30 14:30:00.000,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,1899-12-30 06:30:00.000,NULL,Relief,NULL,40,Yes,Occasionally,Frequently,Occasionally,A little stress,No stress,A little stress,A little stress,A little stress,Stressful,A little stress,No stress,A little stress,Stressful,No stress,A little stress,Stressful,No stress,2
82,50-59,Male,35.6666666666667,6.66666666666667,Assistant Chief,Not married,0,0,Yes,2,3,Fair,Younger,No,No,NULL,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,NULL,NULL,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,0.9375,0.270833333333333,0.270833333333333,NULL,NULL,1899-12-30 06:45:00.000,1899-12-30 06:45:00.000,0.28125,3rd,NULL,56,No,Frequently,Occasionally,Occasionally,Stressful,Stressful,Stressful,A little stress,A little stress,A little stress,Stressful,No stress,A little stress,Stressful,A little stress,A little stress,No stress,No stress,1
83,50-59,Male,13.9166666666667,13.9166666666667,Trick Dispatcher,Married,0,0,Yes,3,1,Good,Same,Yes,No,Yes,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,NULL,NULL,1899-12-30 07:00:00.000,0.291666666666667,0.625,0.625,1899-12-30 15:00:00.000,NULL,NULL,1899-12-30 15:00:00.000,0.625,1st,NULL,48,Yes,Always,Frequently,Occasionally,A little stress,No stress,No stress,A little stress,A little stress,Stressful,A little stress,A little stress,A little stress,No stress,A little stress,No stress,No stress,Stressful,0
84,40-49,Male,6,6,Trick Dispatcher,Not married,3,0,Yes,3,3,Excellent,Younger,No,No,NULL,1899-12-30 06:30:00.000,1899-12-30 06:30:00.000,NULL,NULL,1899-12-30 06:30:00.000,1899-12-30 06:30:00.000,0.270833333333333,0.604166666666667,0.604166666666667,NULL,NULL,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,0.604166666666667,1st,NULL,40,Yes,Frequently,Frequently,Occasionally,Stressful,No stress,A little stress,No stress,Stressful,Very stressful,Very stressful,No stress,Stressful,Stressful,Stressful,Stressful,A little stress,No stress,1
87,30-39,Male,2.25,2.25,Trick Dispatcher,Married,1,0,Yes,3,10,Good,Younger,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Extraboard,NULL,45,Yes,Occasionally,Always,Frequently,Stressful,Very stressful,Stressful,No stress,A little stress,Stressful,Very stressful,No stress,Very stressful,A little stress,Stressful,No stress,Stressful,Very stressful,6
88,40-49,Male,2.25,2.25,Assistant Chief,Married,3,0,Yes,3,1,Good,Younger,No,No,NULL,1899-12-30 14:30:00.000,NULL,NULL,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,1899-12-30 14:30:00.000,0.604166666666667,0.9375,NULL,NULL,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,1899-12-30 22:30:00.000,0.9375,2nd,NULL,40,No,Frequently,Occasionally,Never,Stressful,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,Stressful,A little stress,A little stress,Stressful,A little stress,A little stress,0
93,20-29,Male,2.41666666666667,2.41666666666667,Trick Dispatcher,Married,1,1,Yes,3,1,Excellent,Older,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Extraboard,NULL,40,Yes,Frequently,Frequently,Frequently,A little stress,Stressful,Very stressful,A little stress,A little stress,Very stressful,Very stressful,Very stressful,Very stressful,Very stressful,A little stress,Stressful,Stressful,Very stressful,1
96,30-39,Male,0.916666666666667,0.916666666666667,Trick Dispatcher,Married,1,0,Yes,3,1,Good,Younger,No,No,NULL,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,NULL,NULL,1899-12-30 15:00:00.000,1899-12-30 15:00:00.000,0.625,0.958333333333333,0.958333333333333,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,2nd,NULL,44,Yes,Frequently,Frequently,Frequently,A little stress,A little stress,A little stress,A little stress,Stressful,A little stress,Stressful,A little stress,Very stressful,No stress,No stress,Stressful,Stressful,No stress,1
97,30-39,Male,7.66666666666667,7.66666666666667,Trick Dispatcher,Not married,0,0,Yes,4,4,Fair,Older,No,No,NULL,NULL,NULL,NULL,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,1899-12-30 23:00:00.000,0.958333333333333,NULL,NULL,NULL,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,1899-12-30 07:00:00.000,0.291666666666667,Relief,NULL,40,Yes,Occasionally,Occasionally,Occasionally,Stressful,A little stress,Stressful,A little stress,A little stress,A little stress,A little stress,A little stress,A little stress,Stressful,A little stress,Stressful,A little stress,Stressful,4
